subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
1,2,go,28.0361164699478,13.8447064018811,69.6529017560985,0.239368842875815,,,,,,0.162986451586219,,,,,,0.0346848430241971,47.1349810229966,0,1,-0.00186764795816317,0,0,0
1,2,stop,18.1990475926666,,26.6752618362898,0.404309017383892,,,,,,NaN,,,,,,0.0606547108138065,17.8476506048165,0,1,-0.000270623975915122,0,-0.425170774310735,0
1,43,go,5.18809326049328,,48.6327571283341,0.157210746423803,0.137405023247213,0.119175029577687,,,,0.0425738658280242,0.063707980716451,0.0829933338051105,,,,0.000585063319682333,85.1555257626233,0,1,-0.000383434610571189,0,0,0
1,43,stop,24.2280193104285,,36.0464170962334,0.575027385827995,,,,,,NaN,,,,,,0.000189783175427057,27.9786266274084,0,1,-1.14898149770545e-08,0,-0.4664990221099,0
1,79,go,22.8498849262337,0.521273905892515,63.4917985485305,0.330107648442424,0.310295642381912,0.290310399492054,,,,0.21610112268297,0.232079736043082,0.253258436721728,,,,0.00244994214233651,28.0028667539205,0,1,-0.00416553172945262,0,0,0
1,79,stop,12.6266955836955,,19.5816505510178,0.427176493403481,,,,,,NaN,,,,,,0.0384775339953554,40.0209275642191,0,1,-0.00113759428572504,0,-0.409157226826193,0
1,352,go,48.7682701951405,,106.693918639225,0.272155620102047,0.246219122658709,0.243291723865481,0.219039320317752,0.215032596718225,0.186374261743369,0.045093185831217,0.0950374306948557,0.0840770935581465,0.128952902911327,0.127699605252169,0.155138206928794,0.054063935888251,32.8931845592571,0,1,-2.93065765604502e-06,0,0,0
1,352,stop,11.2038312970261,,15.0370078994182,0.386333542117838,,,,,,NaN,,,,,,0.00210375505584984,37.5305407475744,0,1,-0.00483484652632113,0,-0.392461742796019,0
1,478,go,49.8207789667507,33.7247050501283,101.477187515884,0.305398201640671,0.304972831327919,0.278850889859738,0.273612978691572,0.249366679202145,0.24074092372418,0.107071625428463,0.126783481748985,0.131086786142925,0.160624179237715,0.176028304631082,0.191902166888391,0.059563989810656,45.5816437008848,0,1,-0.000744372966977844,0,0,0
1,478,stop,9.31179720747211,,13.5850737477719,0.330589210317409,,,,,,NaN,,,,,,0.0359920863751443,47.6138247480008,0,1,-0.00131185452219987,0,-0.167829809562462,0
2,2,go,3.2364891839697,17.8613943233403,178.137787737351,1.41387280107777,,,,,,1.29812738850897,,,,,,0.116910741129065,27.2655365416525,0,1,-0.00696014103985835,0,0,0
2,2,stop,0.153231939544333,,0.172570782913042,0.942734002480545,,,,,,NaN,,,,,,0.0300836527427418,0.431408344764846,0,1,-0.000395205582113932,0,-0.534261172077976,0
2,43,go,20.3645439447999,,222.298641909839,1.20168027721393,1.14444083366372,1.07001587862382,,,,0.765074013702076,0.898121162155833,1.0022071321299,,,,0.198803260889829,40.3754834978636,0,1,-0.0029066218298951,0,0,0
2,43,stop,0.425744680204598,,0.505380307069713,0.946797065953006,,,,,,NaN,,,,,,0.0135426974698547,0.0111560316725414,0,1,-4.37181600718168e-05,0,-0.550818190819323,0
2,79,go,5.68161700769838,10.9007429300855,193.974393099741,1.39393247931859,1.35318344037087,1.29391405742451,,,,1.05748360590558,1.1666961006082,1.24422092580159,,,,0.149172091392578,37.9770832160016,0,1,-0.00552357921117146,0,0,0
2,79,stop,0.0653508061283485,,0.10540077642641,0.853348128506515,,,,,,NaN,,,,,,0.0259241679781121,0.289263263321587,0,1,-0.00108152315224984,0,-0.517489348200537,0
2,352,go,5.67500608267697,,127.429502457372,0.485591309828453,0.533156211087009,0.45703802493706,0.495059671137286,0.43749747206712,0.415166147471692,0.240463034149046,0.287205213108302,0.297763172191667,0.358251462740064,0.345631728659273,0.409472752830585,0.116721544068765,52.985086406739,0,1,-0.000182114953536055,0,0,0
2,352,stop,0.71879014334736,,0.899715389531343,0.876380790981685,,,,,,NaN,,,,,,0.0620875930457885,0.146340566362037,0,1,-2.41386613390711e-05,0,-0.559781431880775,0
2,478,go,15.4572324748562,6.90037838139215,108.059747487299,0.370929418356136,0.432245118475861,0.349775967374832,0.391374506846778,0.330214582046827,0.328108658567025,0.192550628987558,0.209066512428187,0.237075967285052,0.270412551177291,0.275010491243674,0.310110319385606,0.0836118943219822,43.2717512791985,0,1,-3.4542968593042e-05,0,0,0
2,478,stop,0.623828741672601,,0.712942356508405,0.809595189987347,,,,,,NaN,,,,,,0.0602950972122063,0.0729052859663181,0,1,-1.24466867815805e-06,0,-0.545556357134914,0
